"S No." "States/Union Territory" "Name of the District" "Sub Centres" PHCs CHCs "Sub Divisional Hospital" "District Hospital"
24 "Tamil Nadu" Theni 162 33 8 5 1
24 "Tamil Nadu" Thiruvallur 303 50 14 10 1
24 "Tamil Nadu" Thoothukudi 253 47 12 8 1
24 "Tamil Nadu" Tiruchirapalli 307 70 14 9 1
24 "Tamil Nadu" Tirunelveli 379 84 19 16 1
24 "Tamil Nadu" Tiruppur 242 53 13 9 1
24 "Tamil Nadu" Tiruvannamalai 410 79 18 9 1
24 "Tamil Nadu" Tiruvarur 195 38 10 7 1
24 "Tamil Nadu" Vellore 454 97 20 12 1
24 "Tamil Nadu" Villupuram 557 86 22 11 1
24 "Tamil Nadu" Virudhunagar 245 47 11 10 1
24 "Tamil Nadu" Total 8712 1835 385 279 31
25 Telangana Adilabad 132 22 3 0 0
25 Telangana "Bhadradri - Kothagudem" 240 29 6 2 0
25 Telangana Hyderabad 53 85 6 3 1
25 Telangana Jagityala 151 17 4 1 0
25 Telangana Jangaon 122 13 3 1 0
25 Telangana "Jayashankar -Bhupalapally" 179 25 5 0 0
25 Telangana "Jogulamba - Gadwal" 93 9 1 1 0
25 Telangana Kamareddy 201 19 6 2 0
25 Telangana Karimnagar 142 16 3 0 1
25 Telangana Khammam 224 22 4 0 1
25 Telangana "Komram Bheem - Asifabad" 109 18 5 0 0
25 Telangana Mahabubabad 168 18 4 1 0
25 Telangana Mahabubnagar 218 28 4 1 1
25 Telangana Manchiryal 130 16 3 1 0
25 Telangana Medak 160 19 2 1 0
25 Telangana "Medchal - Malkajgiri" 105 11 2 0 0
25 Telangana Nagarkurnool 179 24 3 1 0
25 Telangana Nalgonda 257 32 2 2 1
25 Telangana Nirmal 110 16 2 2 0
25 Telangana Nizamabad 224 22 8 1 0
25 Telangana Peddapally 105 15 4 1 0
25 Telangana "Rajanna - Siricilla" 91 13 2 1 0
25 Telangana Rangareddy 232 35 8 2 0
25 Telangana Sangareddy 198 30 4 2 1
25 Telangana Siddipeta 190 32 4 1 0
25 Telangana Suryapet 172 23 2 2 0
25 Telangana Vikarabad 156 22 4 0 1
25 Telangana Wanaparthy 99 12 2 1 0
25 Telangana "Warangal (Rural)" 146 17 3 0 0
25 Telangana "Warangal (Urban)" 82 11 2 0 0
25 Telangana "Yadadri (Bhongir)" 129 18 3 1 0
25 Telangana Total 4797 689 114 31 7
26 Tripura "Unakoti District" 74 9 1 1 1
26 Tripura "South District" 150 17 4 2 1
26 Tripura "Gomati District" 143 10 3 2 1
26 Tripura "Sepahijala District" 145 12 4 2 0
26 Tripura "Khowai District" 110 7 2 0 1
26 Tripura "North District" 95 13 3 1 1
26 Tripura "West District" 140 11 2 0 2
26 Tripura "Dhalai District" 130 14 2 3 1
26 Tripura Total 987 93 21 11 8
27 Uttarakhand Almora 206 28 4 2 2
27 Uttarakhand Bageshwar 84 12 2 0 1
27 Uttarakhand Chamoli 110 13 5 0 1
27 Uttarakhand Champawat 68 6 2 1 1
27 Uttarakhand "Dehra Dun" 175 23 7 4 2
27 Uttarakhand Hardwar 160 28 6 1 2
27 Uttarakhand Nainital 143 19 8 4 2
27 Uttarakhand Pauri 239 32 5 3 2
27 Uttarakhand Pithoragarh 155 18 4 0 2
27 Uttarakhand Rudraprayag 68 13 2 0 1
27 Uttarakhand Tehri 204 28 5 1 1
27 Uttarakhand "U S Nagar" 153 27 6 1 1
27 Uttarakhand Uttarkashi 82 10 4 0 2
27 Uttarakhand Total 1847 257 60 17 20
28 "Uttar Pradesh" Agra 383 60 16 0 2
28 "Uttar Pradesh" Aligarh 351 46 13 0 3
28 "Uttar Pradesh" Allahabad 539 81 20 0 5
28 "Uttar Pradesh" "Ambedkar Nagar" 232 36 9 0 1
28 "Uttar Pradesh" Amethi 271 43 13 0 0
28 "Uttar Pradesh" Auraiya 164 33 7 0 1
28 "Uttar Pradesh" Azamgarh 490 104 22 0 2
28 "Uttar Pradesh" Badaun 370 55 14 0 2
28 "Uttar Pradesh" Bagpat 200 27 7 0 1
28 "Uttar Pradesh" Bahraich 310 63 14 0 2
28 "Uttar Pradesh" Balia 367 83 15 0 2
28 "Uttar Pradesh" Balrampur 214 39 9 0 2
28 "Uttar Pradesh" Banda 285 54 8 0 2
28 "Uttar Pradesh" Barabanki 353 68 17 0 2
28 "Uttar Pradesh" Bareilly 413 64 14 0 3
28 "Uttar Pradesh" Basti 267 48 11 0 4
28 "Uttar Pradesh" Bijnor 353 55 11 0 2
28 "Uttar Pradesh" Bulandshahar 390 72 13 0 4
28 "Uttar Pradesh" Chandauli 244 33 9 0 2
28 "Uttar Pradesh" Chitrakoot 140 34 6 0 1
28 "Uttar Pradesh" Deoria 364 79 16 0 2
28 "Uttar Pradesh" Etah 175 36 4 0 2
28 "Uttar Pradesh" Etawah 169 36 8 0 3
28 "Uttar Pradesh" Faizabad 255 39 12 0 3
28 "Uttar Pradesh" Farrukhabad 192 33 8 0 2
28 "Uttar Pradesh" Fatehpur 309 49 10 0 2
28 "Uttar Pradesh" Firozabad 240 61 9 0 3
28 "Uttar Pradesh" "G B Nagar" 107 22 5 0 1
28 "Uttar Pradesh" Ghaziabad 144 20 4 0 3
28 "Uttar Pradesh" Ghazipur 393 73 16 0 2
28 "Uttar Pradesh" Gonda 338 66 16 0 2
28 "Uttar Pradesh" Gorakhpur 448 77 18 0 2
28 "Uttar Pradesh" Hamirpur 215 41 8 0 2
28 "Uttar Pradesh" Hapur 148 24 5 0 0
28 "Uttar Pradesh" Hardoi 432 73 17 0 2
28 "Uttar Pradesh" Hathras 147 32 7 0 3
28 "Uttar Pradesh" Jalaun 286 39 8 0 2
28 "Uttar Pradesh" Jaunpur 499 92 22 0 3
28 "Uttar Pradesh" Jhansi 326 44 6 0 2
28 "Uttar Pradesh" "JP Nagar" 172 29 8 0 2
28 "Uttar Pradesh" Kannauj 188 37 11 0 1
28 "Uttar Pradesh" "Kanpur Dehat" 217 36 11 0 2
28 "Uttar Pradesh" "Kanpur Nagar" 390 51 10 0 4
28 "Uttar Pradesh" Kashganj 170 36 5 0 1
28 "Uttar Pradesh" Kaushambi 170 36 7 0 1
28 "Uttar Pradesh" Kushinagar 339 67 14 0 1
28 "Uttar Pradesh" Lakhimpur 387 70 15 0 2
28 "Uttar Pradesh" Lalitpur 191 29 5 0 2
28 "Uttar Pradesh" Lucknow 336 40 11 0 11
28 "Uttar Pradesh" Maharajganj 278 47 14 0 1
28 "Uttar Pradesh" Mahoba 140 19 4 0 2
28 "Uttar Pradesh" Mainpuri 203 55 9 0 2
28 "Uttar Pradesh" Mathura 261 37 12 0 3
28 "Uttar Pradesh" Mau 225 45 6 0 2
28 "Uttar Pradesh" Meerut 293 44 12 0 2
28 "Uttar Pradesh" Mirzapur 265 50 13 0 2
28 "Uttar Pradesh" Moradabad 286 37 6 0 2
28 "Uttar Pradesh" Muzaffarnagar 286 49 9 0 2
28 "Uttar Pradesh" Pilibhit 195 29 7 0 2
28 "Uttar Pradesh" Pratapgarh 360 66 29 0 2
28 "Uttar Pradesh" "Rae Bareli" 277 69 18 0 2
28 "Uttar Pradesh" Rampur 211 32 5 0 2
28 "Uttar Pradesh" Saharanpur 338 53 14 0 3
28 "Uttar Pradesh" Sambhal 131 34 9 0 1
28 "Uttar Pradesh" "Sant K Nagar" 182 26 6 0 1
28 "Uttar Pradesh" Shahjahanpur 310 50 14 0 2
28 "Uttar Pradesh" Shamli 130 31 5 0 0
28 "Uttar Pradesh" Shrawasti 133 17 6 0 1
28 "Uttar Pradesh" "Siddharth Nagar" 274 73 12 0 1
28 "Uttar Pradesh" Sitapur 448 87 20 0 2
28 "Uttar Pradesh" Sonbhadra 165 45 6 0 1
28 "Uttar Pradesh" "St Ravidas Nagar" 155 21 6 0 2
28 "Uttar Pradesh" Sultanpur 232 57 14 0 2
28 "Uttar Pradesh" Unnav 348 53 14 0 2
28 "Uttar Pradesh" Varanasi 312 30 8 0 5
28 "Uttar Pradesh" Total 20521 3621 822 0 160
29 "West Bengal" Alipurduar 236 13 7 0 1
29 "West Bengal" Bankura 564 69 22 1 1
29 "West Bengal" Bardhaman 765 105 35 3 1
29 "West Bengal" Birbhum 484 58 19 1 2
29 "West Bengal" "Dakshin Dinajpur" 248 18 8 1 1
29 "West Bengal" Darjiling 230 22 12 2 2
29 "West Bengal" Haora 448 43 15 1 1
29 "West Bengal" Hugli 672 62 18 3 1
29 "West Bengal" Jalpaiguri 301 26 7 1 1
29 "West Bengal" "Koch Bihar" 406 29 12 4 1
29 "West Bengal" Malda 511 34 16 1 0
29 "West Bengal" Murshidabad 832 70 27 4 0
29 "West Bengal" Nadia 469 47 17 2 1
29 "West Bengal" "North 24-Parganas" 742 51 22 3 2
29 "West Bengal" "Paschim Medinipur" 858 83 29 2 1
29 "West Bengal" "Purba Medinipur" 706 51 24 3 2
29 "West Bengal" Puruliya 485 54 20 1 1
29 "West Bengal" "South 24-Parganas" 1068 60 30 3 2
29 "West Bengal" "Uttar Dinajpur" 344 19 9 1 1
29 "West Bengal" Total 10369 914 349 37 22
30 "A& N Islands" "South Andaman" 39 10 1 0 1
30 "A& N Islands" "North & Middle Andaman" 43 8 2 0 1
30 "A& N Islands" Nicobar 41 4 1 0 1
30 "A& N Islands" Total 123 22 4 0 3
31 Chandigarh Chandigarh 17 3 2 1 1
32 "D & N Haveli" "Uni District UT" 71 9 2 1 1
33 "Daman & Diu" Daman 20 3 1 0 1
33 "Daman & Diu" Diu 6 1 1 0 1
33 "Daman & Diu" Total 26 4 2 0 2
34 Delhi Central 0 0 0 3 9
34 Delhi East 0 0 0 0 2
34 Delhi "New Delhi" 1 0 0 3 7
34 Delhi North 0 0 0 0 3
34 Delhi "North East" 0 0 0 0 1
34 Delhi "North West" 0 0 0 1 5
34 Delhi Shahdara 0 0 0 1 6
34 Delhi South 0 2 0 0 2
34 Delhi "South East" 0 0 0 0 2
34 Delhi "South West" 9 3 0 1 3
34 Delhi West 0 0 0 0 7
34 Delhi Total 10 5 0 9 47
35 Lakshadweep Lakshadweep 14 4 3 2 1
36 Puducherry Pondicherry 56 28 2 0 2
36 Puducherry Karaikal 17 11 1 0 1
36 Puducherry Mahe 4 1 1 0 1
36 Puducherry Yanam 4 0 0 0 1
36 Puducherry Total 81 40 4 0 5
"All India" "All India" "All India -Total" 156231 25650 5624 1108 779
