"S No." "States/Union Territory" "Name of the District" "Sub Centres" PHCs CHCs "Sub Divisional Hospital" "District Hospital"
5 Chhattisgarh Raipur 167 31 8 2 1
5 Chhattisgarh Rajnandgaon 316 46 10 1 1
5 Chhattisgarh Sukma 86 12 3 0 1
5 Chhattisgarh Surajpur 215 35 8 0 1
5 Chhattisgarh Surguja 198 25 7 1 1
5 Chhattisgarh Total 5186 785 169 18 26
6 Goa "North Goa" 109 11 2 1 1
6 Goa "South Goa" 105 13 2 1 1
6 Goa Total 214 24 4 2 2
7 Gujarat Ahmedabad 214 39 9 2 0
7 Gujarat Amreli 247 41 12 3 1
7 Gujarat Ananad 271 52 14 0 1
7 Gujarat Arvali 216 35 10 3 1
7 Gujarat Banaskantha 745 107 27 0 1
7 Gujarat Bharuch 237 41 10 2 0
7 Gujarat Bhavnagar 300 44 13 1 1
7 Gujarat Botad 88 15 5 0 1
7 Gujarat "Chhota Udepur" 310 49 12 1 0
7 Gujarat Dahod 637 89 21 0 0
7 Gujarat Dang 68 10 3 0 0
7 Gujarat "Devbhumi Dwarka" 166 19 4 2 0
7 Gujarat Gandhinagar 171 26 9 1 1
7 Gujarat "Gir Somnath" 173 27 8 3 1
7 Gujarat Jamnagar 207 31 9 2 1
7 Gujarat Junagarh 237 38 10 0 1
7 Gujarat Kachchh 435 64 17 1 0
7 Gujarat Kheda 314 52 15 0 1
7 Gujarat Mahesana 289 56 13 4 1
7 Gujarat Mahisagar 224 34 8 1 1
7 Gujarat Morbi 195 27 6 1 0
7 Gujarat Narmada 174 26 4 2 1
7 Gujarat Navsari 296 45 12 1 0
7 Gujarat Panchmahal 299 49 13 0 1
7 Gujarat Patan 322 43 15 2 0
7 Gujarat Porbandar 84 11 4 0 1
7 Gujarat Rajkot 339 49 13 1 0
7 Gujarat Sabarkantha 276 46 13 0 1
7 Gujarat Surat 358 55 14 0 1
7 Gujarat Surendrangr 344 44 12 1 1
7 Gujarat "Tapi (Vyara)" 241 38 8 1 1
7 Gujarat Vadodara 242 42 10 1 1
7 Gujarat Valsad 363 48 10 0 1
7 Gujarat Total 9082 1392 363 36 22
8 Haryana Ambala 104 14 4 2 1
8 Haryana Bhiwani 214 35 9 4 1
8 Haryana Faridabad 61 12 2 1 1
8 Haryana Fatehabad 131 14 4 1 1
8 Haryana "Gurugram (old name Gurgaon)" 75 10 3 2 2
8 Haryana Hisar 198 27 8 2 1
8 Haryana Jind 161 21 7 1 1
8 Haryana Jhajjar 134 22 6 2 1
8 Haryana Karnal 147 19 6 1 0
8 Haryana Kaithal 143 17 6 0 1
8 Haryana Kurukshetra 117 16 5 0 1
8 Haryana "Mahendragarh (Narnaul)" 135 18 7 1 1
8 Haryana "Nuh (old name Mewat)" 84 15 3 0 1
8 Haryana Palwal 95 15 5 0 1
8 Haryana Panchkula 46 8 2 0 1
8 Haryana Panipat 89 14 4 0 1
8 Haryana Rewari 113 13 5 1 1
8 Haryana Rohtak 116 16 7 0 1
8 Haryana Sirsa 151 19 7 1 1
8 Haryana Sonipat 162 29 6 1 1
8 Haryana Yamunanagar 113 12 6 1 1
8 Haryana Total 2589 366 112 21 21
9 "Himachal Pradesh" Bilaspur 117 38 9 1 1
9 "Himachal Pradesh" Chamba 177 42 6 5 1
9 "Himachal Pradesh" Hamirpur 150 32 3 3 1
9 "Himachal Pradesh" Kangra 437 85 17 12 1
9 "Himachal Pradesh" Kinnaur 35 23 4 1 1
9 "Himachal Pradesh" Kullu 101 22 3 5 1
9 "Himachal Pradesh" "L& spiti" 36 16 3 0 1
9 "Himachal Pradesh" Mandi 320 74 13 9 1
9 "Himachal Pradesh" Shimla 249 110 13 11 1
9 "Himachal Pradesh" Sirmour 148 38 4 4 1
9 "Himachal Pradesh" Solan 179 35 6 5 1
9 "Himachal Pradesh" Una 134 23 8 3 1
9 "Himachal Pradesh" Total 2083 538 89 59 12
10 "Jammu & Kashmir" Anantnag 157 40 5 0 1
10 "Jammu & Kashmir" Bandipora 79 13 3 0 1
10 "Jammu & Kashmir" Baramulla 217 54 6 0 1
10 "Jammu & Kashmir" Budgam 153 50 9 0 1
10 "Jammu & Kashmir" Doda 105 33 3 0 1
10 "Jammu & Kashmir" Ganderbal 63 19 1 0 1
10 "Jammu & Kashmir" Jammu 204 45 8 0 1
10 "Jammu & Kashmir" Kargil 138 16 4 0 1
10 "Jammu & Kashmir" Kathua 197 35 5 0 1
10 "Jammu & Kashmir" Kishtwar 93 16 1 0 1
10 "Jammu & Kashmir" Kulgam 133 28 3 0 1
